中国共产党第十九次全国代表大会，是在全面建成小康社会决胜阶段、中国特色社会主义进入_____的关键时期召开的一次十分重要的大会。,D,新时代
十九大的主题是：不忘初心，____，高举中国特色社会主义伟大旗帜，决胜全面建成小康社会，夺取新时代中国特色社会主义伟大胜利，为实现中华民族伟大复兴的中国梦不懈奋斗。,B,牢记使命
中国共产党人的初心和使命，就是为中国人民____ ，为中华民族____。这个初心和使命是激励中国共产党人不断前进的根本动力。,C,谋幸福，谋复兴
五年来，我们统筹推进“____”总体布局、协调推进“____”战略布局，“十二五”规划胜利完成，“十三五”规划顺利实施，党和国家事业全面开创新局面。,A,五位一体　四个全面
过去五年，经济保持中高速增长，在世界主要国家中名列前茅，国内生产总值从五十四万亿元增长到____万亿元，稳居世界第二，对世界经济增长贡献率超过百分之三十。,C,八十
脱贫攻坚战取得决定性进展，____贫困人口稳定脱贫，贫困发生率从百分之十点二下降到百分之四以下。,A,六千多万
实施共建“一带一路”倡议，发起创办亚洲基础设施投资银行，设立丝路基金，举办首届“一带一路”国际合作高峰论坛、亚太经合组织领导人非正式会议、二十国集团领导人____峰会、金砖国家领导人____会晤、亚信峰会。,B,杭州　厦门
坚持反腐败无禁区、全覆盖、零容忍，坚定不移“打虎”、“拍蝇”、“猎狐”，____的目标初步实现，____的笼子越扎越牢，____的堤坝正在构筑，反腐败斗争压倒性态势已经形成并巩固发展。,A,不敢腐　不能腐　不想腐
经过长期努力，中国特色社会主义进入了新时代，这是我国发展新的____。,D,历史方位
中国特色社会主义进入新时代，我国社会主要矛盾已经转化为人民日益增长的____需要和____的发展之间的矛盾。,D,美好生活　不平衡不充分
必须认识到，我国社会主要矛盾的变化，没有改变我们对我国社会主义所处历史阶段的判断，我国仍处于并将长期处于____的基本国情没有变，我国是世界最大发展中国家的国际地位没有变。,B,社会主义初级阶段
_____是实现社会主义现代化、创造人民美好生活的必由之路。,A,中国特色社会主义道路
_____是指导党和人民实现中华民族伟大复兴的正确理论。,B,中国特色社会主义理论体系
_____是当代中国发展进步的根本制度保障。,C,中国特色社会主义制度
_____是激励全党全国各族人民奋勇前进的强大精神力量。,D,中国特色社会主义文化
新时代中国特色社会主义思想，明确坚持和发展中国特色社会主义，总任务是实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分____在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国。,A,两步走
新时代中国特色社会主义思想，明确中国特色社会主义最本质的特征是____。,D,中国共产党领导
发展是解决我国一切问题的基础和关键，发展必须是科学发展，必须坚定不移贯彻____的发展理念。,A,创新、协调、绿色、开放、共享
____是中国特色社会主义的本质要求和重要保障。,A,全面依法治国
____是一个国家、一个民族发展中更基本、更深沉、更持久的力量。,D,文化自信
必须统筹国内国际两个大局，始终不渝走和平发展道路、奉行____的开放战略。,A,互利共赢
从现在到二〇二〇年，是全面建成小康社会______。,B,决胜期
从____到____，是“两个一百年”奋斗目标的历史交汇期。,B,十九大　二十大
综合分析国际国内形势和我国发展条件，从二〇二〇年到本世纪中叶可以分两个阶段来安排。第一个阶段，从______到______，在全面建成小康社会的基础上，再奋斗十五年，基本实现社会主义现代化。,A,二〇二〇年　二〇三五年
综合分析国际国内形势和我国发展条件，从二〇二〇年到本世纪中叶可以分两个阶段来安排。第二个阶段，从_____到_____，在基本实现现代化的基础上，再奋斗十五年，把我国建成富强民主文明和谐美丽的社会主义现代化强国。,D,二〇三五年　本世纪中叶
从全面建成小康社会到基本实现现代化，再到全面建成____，是新时代中国特色社会主义发展的战略安排。,B,社会主义现代化强国
实现“两个一百年”奋斗目标、实现中华民族伟大复兴的中国梦，不断提高人民生活水平，必须坚定不移把_____作为党执政兴国的第一要务。,C,发展
我国经济已由______阶段转向______阶段，正处在转变发展方式、优化经济结构、转换增长动力的攻关期，建设现代化经济体系是跨越关口的迫切要求和我国发展的战略目标。,C,高速增长　高质量发展
贯彻新发展理念，建设现代化经济体系，必须坚持质量第一、效益优先，以_______为主线。,C,供给侧结构性改革
建设现代化经济体系，必须把发展经济的着力点放在______上，把提高供给体系质量作为主攻方向，显著增强我国经济质量优势。,A,实体经济
_____是引领发展的第一动力，是建设现代化经济体系的战略支撑。,B,创新
保持土地承包关系稳定并长久不变，第二轮土地承包到期后再延长_____年。,B,三十
确保到______我国现行标准下农村贫困人口实现脱贫，贫困县全部摘帽，解决区域性整体贫困，做到脱真贫、真脱贫。,B,二〇二〇年
加快完善社会主义市场经济体制。经济体制改革必须以________和________为重点，实现产权有效激励、要素自由流动、价格反应灵活、竞争公平有序、企业优胜劣汰。,A,完善产权制度　要素市场化配置
推动形成全面开放新格局。要以_____建设为重点，坚持引进来和走出去并重，遵循共商共建共享原则，加强创新能力开放合作，形成陆海内外联动、东西双向互济的开放格局。,C,“一带一路”
赋予自由贸易试验区更大改革自主权，探索建设______。,C,自由贸易港
坚持党的领导、人民当家作主、依法治国有机统一。_______是社会主义民主政治的本质特征。,B,人民当家作主
加强人民当家作主制度保障。______是坚持党的领导、人民当家作主、依法治国有机统一的根本政治制度安排。,A,人民代表大会制度
发挥社会主义协商民主重要作用。______是具有中国特色的制度安排，是社会主义协商民主的重要渠道和专门协商机构。,D,人民政协
深化依法治国实践。成立中央全面______领导小组，加强对法治中国建设的统一领导。,B,依法治国
深化机构和行政体制改革。转变政府职能，深化简政放权，创新监管方式，增强政府公信力和执行力，建设人民满意的______政府。,D,服务型
全党必须牢记，______的问题，是检验一个政党、一个政权性质的试金石。,A,为什么人
建设______是中华民族伟大复兴的基础工程。,C,教育强国
国家安全是安邦定国的重要基石，______是全国各族人民根本利益所在。,D,维护国家安全
我们要建设的现代化是人与自然_____的现代化。,C,和谐共生
加快建立绿色生产和消费的法律制度和政策导向，建立健全____的经济体系。,A,绿色低碳循环发展
加强对生态文明建设的总体设计和组织领导，设立________机构。,B,国有自然资源资产管理和自然生态监管
我们要牢固树立社会主义生态文明观，推动形成______现代化建设新格局，为保护生态环境作出我们这代人的努力！,C,人与自然和谐发展
适应世界新军事革命发展趋势和国家安全需求，提高建设质量和效益，确保到二〇二〇年基本实现____，____建设取得重大进展，____有大的提升。,C,机械化　信息化　战略能力
力争到二〇三五年____国防和军队现代化，到本世纪中叶把人民军队____世界一流军队。,D,基本实现　全面建成
树立____是核心战斗力的思想，推进重大技术创新、自主创新，加强军事人才培养体系建设，建设创新型人民军队。,B,科技
军队是要准备打仗的，一切工作都必须坚持____标准，向能打仗、打胜仗聚焦。,A,战斗力
解决台湾问题、实现祖国完全统一，是全体中华儿女____，是中华民族____所在。,D,共同愿望　根本利益
_____是两岸关系的政治基础。,C,一个中国原则
我们呼吁，各国人民同心协力，构建人类命运共同体，建设______的世界。,C,持久和平、普遍安全、共同繁荣、开放包容、清洁美丽
深刻认识党面临的________的尖锐性和严峻性，坚持问题导向，保持战略定力，推动全面从严治党向纵深发展。,A,精神懈怠危险、能力不足危险、脱离群众危险、消极腐败危险
党的____是党的根本性建设，决定党的建设方向和效果。,B,政治建设
要尊崇党章，严格执行新形势下党内政治生活若干准则，增强党内政治生活的____。,A,政治性、时代性、原则性、战斗性
坚决防止和反对_________，坚决防止和反对宗派主义、圈子文化、码头文化，坚决反对搞两面派、做两面人。,C,个人主义、分散主义、自由主义、本位主义、好人主义
_____和_____，是中国共产党人的精神支柱和政治灵魂，也是保持党的团结统一的思想基础。,B,共产主义远大理想　中国特色社会主义共同理想
要坚持党管干部原则，_____，把好干部标准落到实处。,D,坚持德才兼备、以德为先，坚持五湖四海、任人唯贤，坚持事业为上、公道正派
要以提升____为重点，突出政治功能，把企业、农村、机关、学校、科研院所、街道社区、社会组织等基层党组织建设成为宣传党的主张、贯彻党的决定、领导基层治理、团结动员群众、推动改革发展的坚强战斗堡垒。,C,组织力
要坚持无禁区、全覆盖、零容忍，坚持_______，坚持受贿行贿一起查，坚决防止党内形成利益集团。,B,重遏制、强高压、长震慑
增强党自我净化能力，根本靠强化____和____。,B,党的自我监督　群众监督
推进_____，建设覆盖纪检监察系统的检举举报平台。强化不敢腐的震慑，扎牢不能腐的笼子，增强不想腐的自觉，通过不懈努力换来海晏河清、朗朗乾坤。,C,反腐败国家立法
